Time,Time(ms),North China.Guyuan/ Bus 4 J220/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Bus 5 J220/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 500kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 220kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 35kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 500kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 220kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 35kV Side/ Positive -Sequence Voltage Magnitude
2023/09/17_02:12:04.80,80,227.039,227.033,524.62,227.033,35.9337,524.147,226.919,35.9145
2023/09/17_02:12:04.100,100,227.053,227.033,524.62,227.033,35.9337,524.162,226.925,35.9145
2023/09/17_02:12:04.120,120,227.046,227.039,524.635,227.033,35.9326,524.178,226.925,35.9134
2023/09/17_02:12:04.140,140,227.053,227.046,524.651,227.039,35.9337,524.178,226.932,35.9134
2023/09/17_02:12:04.160,160,227.039,227.026,524.605,227.026,35.9316,524.132,226.912,35.9113
2023/09/17_02:12:04.180,180,227.013,227.006,524.559,227.006,35.9294,524.071,226.892,35.9091
2023/09/17_02:12:04.200,200,227.006,226.999,524.559,226.999,35.9273,524.071,226.885,35.9081
2023/09/17_02:12:04.220,220,227.013,227.006,524.574,226.999,35.9284,524.086,226.892,35.9102
2023/09/17_02:12:04.240,240,227.019,227.013,524.574,227.006,35.9294,524.101,226.898,35.9102
2023/09/17_02:12:04.260,260,227.013,227.013,524.559,227.006,35.9294,524.071,226.898,35.9102
2023/09/17_02:12:04.280,280,227.013,227.006,524.559,227.013,35.9294,524.071,226.898,35.9091
2023/09/17_02:12:04.300,300,227.013,227.006,524.559,227.013,35.9284,524.071,226.898,35.9081
2023/09/17_02:12:04.320,320,227.019,227.013,524.559,227.013,35.9273,524.086,226.898,35.9081
2023/09/17_02:12:04.340,340,227.033,227.026,524.59,227.019,35.9294,524.117,226.912,35.9113
2023/09/17_02:12:04.360,360,227.046,227.046,524.62,227.039,35.9337,524.132,226.925,35.9145
2023/09/17_02:12:04.380,380,227.053,227.046,524.62,227.046,35.9337,524.147,226.932,35.9156
2023/09/17_02:12:04.400,400,227.053,227.046,524.62,227.039,35.9337,524.162,226.925,35.9145
2023/09/17_02:12:04.420,420,227.046,227.033,524.605,227.033,35.9337,524.147,226.919,35.9145
2023/09/17_02:12:04.440,440,227.033,227.026,524.59,227.026,35.9326,524.132,226.912,35.9134
2023/09/17_02:12:04.460,460,227.019,227.013,524.59,227.013,35.9305,524.101,226.905,35.9123
2023/09/17_02:12:04.480,480,227.026,227.019,524.59,227.019,35.9316,524.101,226.905,35.9123
2023/09/17_02:12:04.500,500,227.046,227.026,524.605,227.026,35.9326,524.117,226.919,35.9145
